MainDTN,ChE30M,ChERM,ChE30,MDTN_R,ChEBM,MDTN_B,NSCh2pD,NFCh30m,TotCha,geometry,corridor_name
16.83,0.0,5.79,7.35,13.76,1.56,3.08,7.0,1.0,8.0,"POLYGON ((14.1504236728223 46.03868007221471, 14.084771522788452 46.2552877743243, 14.408368976660816 46.29897619862528, 14.472674561792287 46.08219893215051, 14.1504236728223 46.03868007221471))",Zahodna obvoznica Highway Corridor (Skofja Loka)
173.74,0.0,46.4,95.07,86.46,48.67,87.28,44.0,4.0,48.0,"POLYGON ((10.80049968588992 49.61558694627412, 10.714117523737622 49.828641392072825, 11.059350098614505 49.88174803316247, 11.144233919008366 49.66846332272299, 10.80049968588992 49.61558694627412))",Motorway A 3 Corridor (Höchstadt an der Aisch)
32.24,0.0,7.85,19.68,11.85,11.83,20.38,6.0,2.0,8.0,"POLYGON ((0.4038805999961695 47.215937382733856, 0.2768895101047545 47.420227883575585, 0.5903221920710408 47.50300776420845, 0.7162109774879625 47.29840105315156, 0.4038805999961695 47.215937382733856))",L'Aquitaine Highway Corridor (Saint-Étienne-de-Chigny)
11.03,0.0,6.92,7.48,10.23,0.56,0.81,6.0,1.0,7.0,"POLYGON ((12.296024561174159 64.2683258675944, 12.179386693374882 64.48581564781051, 12.68900818588399 64.53528966883012, 12.802351397418445 64.31741104678063, 12.296024561174159 64.2683258675944))",Namsenvegen Route (Trøndelag)
62.63,0.0,6.36,26.5,14.48,20.14,48.15,8.0,3.0,11.0,"POLYGON ((16.801827190961056 51.49543174467841, 16.741059075365936 51.71164591053421, 17.1071092030422 51.747206723100014, 17.166130936384924 51.530825203043555, 16.801827190961056 51.49543174467841))",S5 Highway Corridor (Słupia Kapitulna)
33.16,0.0,2.44,21.23,3.93,18.8,29.23,2.0,2.0,4.0,"POLYGON ((18.820320674450414 49.2403905217785, 18.771987781970694 49.45808923645465, 19.12159242559679 49.48782839420586, 19.16831840597422 49.26999975888849, 18.820320674450414 49.2403905217785))",D3 Highway Corridor (Nová Bystrica)
3.88,0.0,0.93,1.5,2.4,0.57,1.48,2.0,1.0,3.0,"POLYGON ((32.69771104839351 51.16124930296447, 32.71585043398246 51.38024361049386, 33.0833440101783 51.368843088277174, 33.06340090994924 51.1499023982731, 32.69771104839351 51.16124930296447))",М-02 Route (Chernihiv Oblast)
79.66,0.0,16.54,40.53,32.51,23.99,47.15,17.0,3.0,20.0,"POLYGON ((9.80409857213455 51.952623716069574, 9.708212463390645 52.164397712561644, 10.070757044439267 52.220221392451805, 10.165003888848736 52.00818562230935, 9.80409857213455 51.952623716069574))",Motorway A 7 Corridor (Diekholzen)
7.84,0.0,1.85,3.21,4.53,1.36,3.31,3.0,1.0,4.0,"POLYGON ((20.94167063337391 45.18871204990783, 20.90640551034888 45.408852614762054, 21.229072610835296 45.43254301692556, 21.26295865025471 45.21231181471719, 20.94167063337391 45.18871204990783))",DN59 Route (Plandiste Municipality)
45.09,0.0,18.42,31.36,26.62,12.94,18.47,14.0,2.0,16.0,"POLYGON ((4.489154328261714 44.23402406218775, 4.385881086581471 44.44393470804509, 4.687344568388752 44.51576864714562, 4.789541159597069 44.305604338663116, 4.489154328261714 44.23402406218775))",Motorway Autoroute du Soleil Corridor (Bourg-Saint-Andéol)
44.46,0.0,23.89,30.72,34.59,6.83,9.86,18.0,2.0,20.0,"POLYGON ((1.1734553357810247 49.54571452441825, 1.0434549793440366 49.75007013624097, 1.3741216222055492 49.830412084943084, 1.5028812800201348 49.62572294496165, 1.1734553357810247 49.54571452441825))",Motorway A 28 Corridor (Saint-Saëns)
1.32,0.0,0.77,0.89,1.15,0.12,0.17,1.0,1.0,2.0,"POLYGON ((26.191621277988858 67.08363284308996, 26.16971941802875 67.31050158985767, 26.742158840836183 67.31838406919968, 26.759689630086566 67.09144170313667, 26.191621277988858 67.08363284308996))",Rovaniementie Route (Sodankylä)
4.32,0.0,0.92,2.67,1.48,1.75,2.84,1.0,1.0,2.0,"POLYGON ((-7.493758751002907 41.68727806806199, -7.636996225703546 41.884188918341664, -7.369237837456165 41.9896547137055, -7.226687952656747 41.79242441317772, -7.493758751002907 41.68727806806199))",Motorway Autoestrada do Interior Norte Corridor (Oímbra)
6.19,0.0,1.09,4.11,1.61,3.03,4.58,1.0,1.0,2.0,"POLYGON ((7.221733953249318 44.846908886922556, 7.128495979194919 45.05902263687562, 7.437213905144393 45.12295783466635, 7.529289616495631 44.91061099300624, 7.221733953249318 44.846908886922556))",Tangenziale Nord Highway Corridor (Cumiana)
0.06,0.0,0.0,0.04,0.0,0.04,0.06,0.0,1.0,1.0,"POLYGON ((-1.4174296537494528 54.37208626055979, -1.5754825698085795 54.572731835553085, -1.2112103707678459 54.65986855360091, -1.0546030335459904 54.45879939167136, -1.4174296537494528 54.37208626055979))",Motorway A1(M) Corridor (Ingleby Barwick)
25.04,0.0,6.16,14.28,10.82,8.12,14.22,6.0,2.0,8.0,"POLYGON ((18.831730040037122 50.79307051712958, 18.781773921911295 51.01034291459673, 19.143535754452234 51.03997820015038, 19.19177142623315 50.82256918816145, 18.831730040037122 50.79307051712958))",Motorway Autostrada Bursztynowa Corridor (Łobodno)
0.85,0.0,0.0,0.33,0.0,0.33,0.85,0.0,1.0,1.0,"POLYGON ((13.954060863829929 61.929451656995944, 13.856062636345227 62.14599000379239, 14.332792787526161 62.19016433685258, 14.427876543673019 61.97331395492977, 13.954060863829929 61.929451656995944))",Ljusnegatan Route (Jämtland County)
5.67,0.0,2.7,4.01,3.73,1.31,1.93,2.0,1.0,3.0,"POLYGON ((-3.4943142688015727 55.299170718838354, -3.666353387672665 55.49729275266902, -3.2983357759201226 55.59004562753616, -3.1277172802312068 55.39146253921388, -3.4943142688015727 55.299170718838354))",Motorway A74(M) Corridor (Scottish Borders)
